Reception rate,Distance,Transmission,Reception
100.0,7.729708,327,327
100.0,7.654663,328,328
100.0,7.729708,329,329
100.0,7.748469,330,330
100.0,7.729708,331,331
100.0,7.692185,332,332
100.0,7.748469,333,333
100.0,7.692185,334,334
100.0,7.729708,335,335
100.0,7.710947,336,336
100.0,7.710947,337,337
100.0,7.654663,338,338
100.0,7.729708,339,339
100.0,7.710947,340,340
100.0,7.748469,341,341
100.0,7.748469,342,342
100.0,7.710947,343,343
100.0,7.692185,344,344
100.0,7.673424,345,345
100.0,7.729708,346,346
100.0,7.692185,347,347
100.0,7.729708,348,348
100.0,7.748469,349,349
100.0,7.692185,350,350
100.0,7.729708,351,351
100.0,7.748469,352,352
100.0,7.710947,353,353
100.0,7.729708,354,354
100.0,7.692185,355,355
100.0,7.729708,356,356
100.0,7.692185,357,357
100.0,7.710947,358,358
100.0,7.710947,359,359
100.0,7.710947,360,360
100.0,7.710947,361,361
100.0,7.729708,362,362
100.0,7.729708,363,363
100.0,7.673424,364,364
100.0,7.617139,365,365
100.0,7.748469,366,366
100.0,7.729708,367,367
100.0,7.673424,368,368
100.0,7.729708,369,369
100.0,7.710947,370,370
100.0,7.692185,371,371
100.0,7.673424,372,372
100.0,7.673424,373,373
100.0,7.673424,374,374
100.0,7.729708,375,375
100.0,7.729708,376,376
100.0,7.748469,377,377
100.0,7.635901,378,378
100.0,7.673424,379,379
100.0,7.748469,380,380
100.0,7.673424,381,381
100.0,7.673424,382,382
100.0,7.710947,383,383
100.0,7.673424,384,384
100.0,7.729708,385,385
100.0,7.654663,386,386
100.0,7.748469,387,387
100.0,7.654663,388,388
100.0,7.729708,389,389
100.0,7.692185,390,390
100.0,7.617139,391,391
100.0,7.710947,392,392
100.0,7.748469,393,393
100.0,7.710947,394,394
100.0,7.729708,395,395
100.0,7.692185,396,396
100.0,7.729708,397,397
100.0,7.673424,398,398
100.0,7.673424,399,399
100.0,7.729708,400,400
100.0,7.673424,401,401
100.0,7.710947,402,402
100.0,7.710947,403,403
100.0,7.710947,404,404
100.0,7.710947,405,405
100.0,7.729708,406,406
100.0,7.729708,407,407
100.0,7.710947,408,408
100.0,7.710947,409,409
100.0,7.654663,410,410
100.0,7.710947,411,411
100.0,7.692185,412,412
100.0,7.710947,413,413
100.0,7.729708,414,414
100.0,7.692185,415,415
100.0,7.710947,416,416
100.0,7.673424,417,417
100.0,7.710947,418,418
100.0,7.710947,419,419
100.0,7.729708,420,420
100.0,7.729708,421,421
100.0,7.692185,422,422
100.0,7.692185,423,423
100.0,7.748469,424,424
100.0,7.710947,425,425
100.0,7.729708,426,426
100.0,7.729708,427,427
100.0,7.767231,428,428
100.0,7.710947,429,429
100.0,7.692185,430,430
100.0,7.692185,431,431
100.0,7.729708,432,432
100.0,7.692185,433,433
100.0,7.729708,434,434
100.0,7.729708,435,435
100.0,7.729708,436,436
100.0,7.710947,437,437
100.0,7.729708,438,438
100.0,7.748469,439,439
100.0,7.767231,440,440
100.0,7.710947,441,441
100.0,7.729708,442,442
100.0,7.654663,443,443
100.0,7.673424,444,444
100.0,7.710947,445,445
100.0,7.729708,446,446
100.0,7.673424,447,447
100.0,7.654663,448,448
100.0,7.729708,449,449
100.0,7.729708,450,450
100.0,7.673424,451,451
100.0,7.729708,452,452
100.0,7.748469,453,453
100.0,7.692185,454,454
100.0,7.710947,455,455
100.0,7.710947,456,456
100.0,7.748469,457,457
100.0,7.767231,458,458
100.0,7.729708,459,459
100.0,7.710947,460,460
100.0,7.692185,461,461
100.0,7.654663,462,462
100.0,7.654663,463,463
100.0,7.654663,464,464
100.0,7.654663,465,465
100.0,7.729708,466,466
100.0,7.748469,467,467
100.0,7.710947,468,468
100.0,7.692185,469,469
100.0,7.767231,470,470
100.0,7.692185,471,471
100.0,7.710947,472,472
100.0,7.692185,473,473
100.0,7.692185,474,474
100.0,7.729708,475,475
100.0,7.767231,476,476
100.0,7.710947,477,477
100.0,7.635901,478,478
100.0,7.748469,479,479
100.0,7.748469,480,480
100.0,7.710947,481,481
100.0,7.710947,482,482
100.0,7.710947,483,483
100.0,7.654663,484,484
100.0,7.748469,485,485
100.0,7.710947,486,486
100.0,7.692185,487,487
100.0,7.729708,488,488
100.0,7.710947,489,489
100.0,7.748469,490,490
100.0,7.710947,491,491
100.0,7.692185,492,492
100.0,7.729708,493,493
100.0,7.729708,494,494
100.0,7.673424,495,495
100.0,7.692185,496,496
100.0,7.654663,497,497
100.0,7.729708,498,498
100.0,7.673424,499,499
100.0,7.710947,500,500
100.0,7.654663,501,501
100.0,7.710947,502,502
100.0,7.729708,503,503
100.0,7.748469,504,504
100.0,7.692185,505,505
100.0,7.692185,506,506
100.0,7.710947,507,507
100.0,7.710947,508,508
100.0,7.729708,509,509
100.0,7.710947,510,510
100.0,7.635901,511,511
100.0,7.710947,512,512
100.0,7.710947,513,513
100.0,7.692185,514,514
100.0,7.692185,515,515
100.0,7.710947,516,516
100.0,7.710947,517,517
100.0,7.729708,518,518
100.0,7.748469,519,519
100.0,7.710947,520,520
100.0,7.710947,521,521
100.0,7.710947,522,522
100.0,7.729708,523,523
100.0,7.729708,524,524
100.0,7.729708,525,525
