Reception rate,Distance,Transmission,Reception
100.0,6.285078,123,123
100.0,6.285078,124,124
100.0,6.266317,125,125
100.0,6.266317,126,126
100.0,6.266317,127,127
100.0,6.247555,128,128
100.0,6.285078,129,129
100.0,6.266317,130,130
100.0,6.285078,131,131
100.0,6.285078,132,132
100.0,6.285078,133,133
100.0,6.266317,134,134
100.0,6.266317,135,135
100.0,6.266317,136,136
100.0,6.266317,137,137
100.0,6.30384,138,138
100.0,6.30384,139,139
100.0,6.266317,140,140
100.0,6.30384,141,141
100.0,6.30384,142,142
100.0,6.285078,143,143
100.0,6.266317,144,144
100.0,6.285078,145,145
100.0,6.285078,146,146
100.0,6.266317,147,147
100.0,6.285078,148,148
100.0,6.285078,149,149
100.0,6.30384,150,150
100.0,6.285078,151,151
100.0,6.285078,152,152
100.0,6.266317,153,153
100.0,6.266317,154,154
100.0,6.266317,155,155
100.0,6.285078,156,156
100.0,6.266317,157,157
100.0,6.285078,158,158
100.0,6.285078,159,159
100.0,6.266317,160,160
100.0,6.285078,161,161
100.0,6.266317,162,162
100.0,6.266317,163,163
100.0,6.30384,164,164
100.0,6.30384,165,165
100.0,6.266317,166,166
100.0,6.247555,167,167
100.0,6.285078,168,168
100.0,6.247555,169,169
100.0,6.285078,170,170
100.0,6.285078,171,171
100.0,6.30384,172,172
100.0,6.266317,173,173
100.0,6.30384,174,174
100.0,6.266317,175,175
100.0,6.285078,176,176
100.0,6.30384,177,177
100.0,6.30384,178,178
100.0,6.30384,179,179
100.0,6.285078,180,180
100.0,6.285078,181,181
100.0,6.247555,182,182
100.0,6.285078,183,183
100.0,6.285078,184,184
100.0,6.285078,185,185
100.0,6.285078,186,186
100.0,6.247555,187,187
100.0,6.266317,188,188
100.0,6.247555,189,189
100.0,6.285078,190,190
100.0,6.322601,191,191
100.0,6.285078,192,192
100.0,6.30384,193,193
100.0,6.285078,194,194
100.0,6.30384,195,195
100.0,6.266317,196,196
100.0,6.266317,197,197
100.0,6.266317,198,198
100.0,6.285078,199,199
100.0,6.266317,200,200
100.0,6.285078,201,201
100.0,6.285078,202,202
100.0,6.285078,203,203
100.0,6.266317,204,204
100.0,6.285078,205,205
100.0,6.30384,206,206
100.0,6.247555,207,207
100.0,6.30384,208,208
100.0,6.285078,209,209
100.0,6.30384,210,210
100.0,6.266317,211,211
100.0,6.285078,212,212
100.0,6.266317,213,213
100.0,6.266317,214,214
100.0,6.30384,215,215
100.0,6.285078,216,216
100.0,6.30384,217,217
100.0,6.285078,218,218
100.0,6.285078,219,219
100.0,6.266317,220,220
100.0,6.266317,221,221
100.0,6.30384,222,222
100.0,6.285078,223,223
100.0,6.266317,224,224
100.0,6.266317,225,225
100.0,6.247555,226,226
100.0,6.285078,227,227
100.0,6.30384,228,228
100.0,6.266317,229,229
100.0,6.285078,230,230
100.0,6.266317,231,231
100.0,6.285078,232,232
100.0,6.30384,233,233
100.0,6.285078,234,234
100.0,6.285078,235,235
100.0,6.266317,236,236
100.0,6.266317,237,237
100.0,6.30384,238,238
100.0,6.266317,239,239
100.0,6.30384,240,240
100.0,6.285078,241,241
100.0,6.266317,242,242
100.0,6.285078,243,243
100.0,6.30384,244,244
100.0,6.266317,245,245
100.0,6.30384,246,246
100.0,6.30384,247,247
100.0,6.266317,248,248
100.0,6.285078,249,249
100.0,6.285078,250,250
100.0,6.266317,251,251
100.0,6.322601,252,252
100.0,6.285078,253,253
100.0,6.266317,254,254
100.0,6.30384,255,255
100.0,6.285078,256,256
100.0,6.285078,257,257
100.0,6.266317,258,258
100.0,6.266317,259,259
100.0,6.266317,260,260
100.0,6.285078,261,261
100.0,6.285078,262,262
100.0,6.285078,263,263
100.0,6.285078,264,264
100.0,6.285078,265,265
100.0,6.30384,266,266
100.0,6.266317,267,267
100.0,6.30384,268,268
100.0,6.30384,269,269
100.0,6.285078,270,270
100.0,6.266317,271,271
100.0,6.285078,272,272
100.0,6.285078,273,273
100.0,6.266317,274,274
100.0,6.285078,275,275
100.0,6.30384,276,276
100.0,6.247555,277,277
100.0,6.266317,278,278
100.0,6.285078,279,279
100.0,6.266317,280,280
100.0,6.322601,281,281
100.0,6.266317,282,282
100.0,6.30384,283,283
100.0,6.285078,284,284
100.0,6.266317,285,285
100.0,6.266317,286,286
100.0,6.30384,287,287
100.0,6.285078,288,288
100.0,6.285078,289,289
100.0,6.285078,290,290
100.0,6.285078,291,291
100.0,6.285078,292,292
100.0,6.285078,293,293
100.0,6.30384,294,294
100.0,6.285078,295,295
100.0,6.266317,296,296
100.0,6.285078,297,297
100.0,6.30384,298,298
100.0,6.247555,299,299
100.0,6.285078,300,300
100.0,6.266317,301,301
100.0,6.247555,302,302
100.0,6.285078,303,303
100.0,6.285078,304,304
100.0,6.266317,305,305
100.0,6.266317,306,306
100.0,6.30384,307,307
100.0,6.30384,308,308
100.0,6.285078,309,309
100.0,6.266317,310,310
100.0,6.247555,311,311
100.0,6.285078,312,312
100.0,6.285078,313,313
100.0,6.266317,314,314
100.0,6.30384,315,315
100.0,6.285078,316,316
100.0,6.285078,317,317
100.0,6.285078,318,318
100.0,6.30384,319,319
100.0,6.285078,320,320
100.0,6.322601,321,321
