Reception rate,Distance,Transmission,Reception
99.494949,8.649019,199,198
99.497482,8.649019,200,199
99.5,8.686541,201,200
99.502487,8.686541,202,201
99.504943,8.686541,203,202
99.507392,8.705303,204,203
99.509803,8.66778,205,204
99.512191,8.649019,206,205
99.514564,8.66778,207,206
99.516906,8.686541,208,207
99.519226,8.66778,209,208
99.52153,8.705303,210,209
99.523803,8.649019,211,210
99.526062,8.705303,212,211
99.528297,8.66778,213,212
99.530517,8.649019,214,213
99.532714,8.66778,215,214
99.534881,8.686541,216,215
99.53704,8.66778,217,216
99.539169,8.686541,218,217
99.541282,8.705303,219,218
99.54338,8.724064,220,219
99.545455,8.649019,221,220
99.547508,8.724064,222,221
99.549552,8.66778,223,222
99.551567,8.686541,224,223
99.553573,8.705303,225,224
99.555557,8.649019,226,225
99.557525,8.686541,227,226
99.559471,8.686541,228,227
99.561401,8.66778,229,228
99.563316,8.686541,230,229
99.565216,8.66778,231,230
99.5671,8.705303,232,231
99.568962,8.686541,233,232
99.570816,8.66778,234,233
99.572647,8.649019,235,234
99.57447,8.724064,236,235
99.576271,8.686541,237,236
99.578056,8.705303,238,237
99.579826,8.724064,239,238
99.581588,8.66778,240,239
99.583335,8.724064,241,240
99.58506,8.724064,242,241
99.586776,8.66778,243,242
99.588478,8.66778,244,243
99.590164,8.705303,245,244
99.591842,8.705303,246,245
99.593498,8.66778,247,246
99.595138,8.686541,248,247
99.596771,8.66778,249,248
99.598396,8.742826,250,249
99.599998,8.686541,251,250
99.601593,8.705303,252,251
99.603179,8.686541,253,252
99.604743,8.66778,254,253
99.6063,8.649019,255,254
99.607841,8.649019,256,255
99.609375,8.686541,257,256
99.610893,8.705303,258,257
99.612403,8.724064,259,258
99.613899,8.686541,260,259
99.615386,8.66778,261,260
99.616851,8.686541,262,261
99.618324,8.686541,263,262
99.619766,8.705303,264,263
99.621215,8.686541,265,264
99.622642,8.705303,266,265
99.624061,8.686541,267,266
99.625465,8.66778,268,267
99.626861,8.686541,269,268
99.62825,8.686541,270,269
99.629631,8.66778,271,270
99.630996,8.686541,272,271
99.632354,8.705303,273,272
99.633697,8.649019,274,273
99.635032,8.705303,275,274
99.636367,8.66778,276,275
99.63768,8.686541,277,276
99.638984,8.705303,278,277
99.640289,8.724064,279,278
99.641578,8.66778,280,279
99.642852,8.686541,281,280
99.644126,8.705303,282,281
99.645385,8.66778,283,282
99.646644,8.686541,284,283
99.647888,8.630257,285,284
99.649124,8.66778,286,285
99.650344,8.705303,287,286
99.651565,8.66778,288,287
99.652778,8.686541,289,288
99.653976,8.686541,290,289
99.655174,8.66778,291,290
99.656356,8.66778,292,291
99.657531,8.686541,293,292
99.658706,8.66778,294,293
99.659866,8.724064,295,294
99.661018,8.686541,296,295
99.662162,8.705303,297,296
99.663299,8.66778,298,297
99.664428,8.649019,299,298
99.66555,8.686541,300,299
99.666664,8.705303,301,300
99.667778,8.66778,302,301
99.668869,8.686541,303,302
99.669967,8.66778,304,303
99.671051,8.705303,305,304
99.672134,8.686541,306,305
99.673202,8.686541,307,306
99.674263,8.686541,308,307
