Reception rate,Distance,Transmission,Reception
99.626861,0.637889,269,268
99.62825,0.65665,270,269
99.629631,0.600366,271,270
99.630996,0.637889,272,271
99.632354,0.600366,273,272
99.633697,0.619127,274,273
99.635032,0.65665,275,274
99.636367,0.750457,276,275
99.63768,0.694173,277,276
99.638984,0.712934,278,277
99.640289,0.637889,279,278
99.641578,0.675411,280,279
99.642852,0.712934,281,280
99.644126,0.731696,282,281
99.645385,0.637889,283,282
99.646644,0.619127,284,283
99.647888,0.637889,285,284
99.649124,0.619127,286,285
99.650344,0.675411,287,286
99.651565,0.600366,288,287
99.652778,0.750457,289,288
99.653976,0.65665,290,289
99.655174,0.712934,291,290
99.656356,0.637889,292,291
99.657531,0.694173,293,292
99.658706,0.675411,294,293
99.659866,0.712934,295,294
99.661018,0.637889,296,295
99.662162,0.637889,297,296
99.663299,0.619127,298,297
99.664428,0.65665,299,298
99.66555,0.750457,300,299
99.666664,0.675411,301,300
99.667778,0.65665,302,301
99.668869,0.675411,303,302
99.669967,0.65665,304,303
99.671051,0.600366,305,304
99.672134,0.712934,306,305
99.673202,0.600366,307,306
99.674263,0.712934,308,307
99.675331,0.600366,309,308
99.676376,0.600366,310,309
99.677421,0.600366,311,310
99.678459,0.750457,312,311
99.679489,0.712934,313,312
99.680511,0.675411,314,313
99.681526,0.712934,315,314
99.68254,0.619127,316,315
99.683548,0.731696,317,316
99.684539,0.712934,318,317
99.685531,0.731696,319,318
99.686523,0.619127,320,319
99.6875,0.694173,321,320
99.688476,0.712934,322,321
99.689445,0.731696,323,322
99.690399,0.637889,324,323
99.691352,0.619127,325,324
99.692306,0.675411,326,325
99.693252,0.731696,327,326
99.694191,0.65665,328,327
99.695121,0.694173,329,328
99.696044,0.65665,330,329
99.696968,0.712934,331,330
99.697891,0.712934,332,331
99.698791,0.712934,333,332
99.699699,0.562843,334,333
99.700599,0.619127,335,334
99.701492,0.65665,336,335
99.702384,0.637889,337,336
99.703262,0.619127,338,337
99.704139,0.694173,339,338
99.705017,0.750457,340,339
99.705879,0.65665,341,340
99.706741,0.619127,342,341
99.707603,0.712934,343,342
99.708457,0.619127,344,343
99.709304,0.731696,345,344
99.710144,0.637889,346,345
99.710983,0.562843,347,346
99.711814,0.769219,348,347
99.712646,0.712934,349,348
99.71347,0.712934,350,349
99.714286,0.750457,351,350
99.715103,0.675411,352,351
99.715904,0.694173,353,352
99.716712,0.600366,354,353
99.717514,0.619127,355,354
99.718307,0.731696,356,355
99.7191,0.619127,357,356
99.719886,0.694173,358,357
99.720672,0.65665,359,358
99.72145,0.65665,360,359
99.722221,0.637889,361,360
99.722991,0.694173,362,361
99.723754,0.619127,363,362
99.724517,0.731696,364,363
99.725273,0.750457,365,364
99.726028,0.694173,366,365
99.726776,0.619127,367,366
99.727523,0.600366,368,367
99.728263,0.731696,369,368
99.728996,0.562843,370,369
99.729728,0.637889,371,370
99.730453,0.581604,372,371
99.731185,0.731696,373,372
99.731903,0.65665,374,373
99.73262,0.675411,375,374
99.733337,0.600366,376,375
99.734046,0.637889,377,376
99.734748,0.619127,378,377
99.73545,0.675411,379,378
99.736145,0.694173,380,379
99.736839,0.637889,381,380
99.737533,0.731696,382,381
99.73822,0.675411,383,382
99.738899,0.731696,384,383
99.739578,0.637889,385,384
99.740257,0.675411,386,385
99.740936,0.675411,387,386
99.7416,0.637889,388,387
