Reception rate,Distance,Transmission,Reception
100.0,1.932427,196,196
100.0,1.951188,197,197
100.0,1.876143,198,198
100.0,2.007473,199,199
100.0,1.96995,200,200
100.0,1.913666,201,201
100.0,1.894904,202,202
100.0,2.063757,203,203
100.0,1.876143,204,204
100.0,1.988711,205,205
100.0,1.894904,206,206
100.0,1.932427,207,207
100.0,1.988711,208,208
100.0,1.83862,209,209
100.0,1.857381,210,210
100.0,1.894904,211,211
100.0,1.913666,212,212
100.0,1.951188,213,213
100.0,1.951188,214,214
100.0,1.951188,215,215
100.0,2.026234,216,216
100.0,1.857381,217,217
100.0,2.026234,218,218
100.0,1.951188,219,219
100.0,2.026234,220,220
100.0,1.913666,221,221
100.0,2.007473,222,222
100.0,1.96995,223,223
100.0,2.026234,224,224
100.0,1.96995,225,225
100.0,1.913666,226,226
100.0,1.83862,227,227
100.0,1.932427,228,228
100.0,1.96995,229,229
100.0,1.951188,230,230
100.0,1.932427,231,231
100.0,1.988711,232,232
100.0,1.988711,233,233
100.0,1.857381,234,234
100.0,2.044996,235,235
100.0,2.007473,236,236
100.0,1.96995,237,237
100.0,1.913666,238,238
100.0,1.876143,239,239
100.0,2.044996,240,240
100.0,1.96995,241,241
100.0,1.951188,242,242
100.0,2.063757,243,243
100.0,2.063757,244,244
100.0,2.026234,245,245
100.0,1.913666,246,246
100.0,1.876143,247,247
100.0,1.894904,248,248
100.0,1.988711,249,249
100.0,2.044996,250,250
100.0,2.044996,251,251
100.0,1.894904,252,252
100.0,1.988711,253,253
100.0,1.988711,254,254
100.0,1.988711,255,255
100.0,1.913666,256,256
100.0,1.782336,257,257
100.0,1.988711,258,258
100.0,2.007473,259,259
100.0,2.082518,260,260
100.0,2.063757,261,261
100.0,2.026234,262,262
100.0,1.913666,263,263
100.0,1.932427,264,264
100.0,1.913666,265,265
100.0,1.932427,266,266
100.0,1.83862,267,267
100.0,1.857381,268,268
100.0,1.951188,269,269
100.0,1.913666,270,270
100.0,1.96995,271,271
100.0,2.026234,272,272
100.0,1.988711,273,273
100.0,1.876143,274,274
100.0,1.932427,275,275
100.0,2.007473,276,276
100.0,1.988711,277,277
100.0,1.894904,278,278
100.0,1.988711,279,279
100.0,1.876143,280,280
100.0,1.894904,281,281
100.0,1.932427,282,282
100.0,2.026234,283,283
100.0,1.951188,284,284
100.0,2.007473,285,285
100.0,1.876143,286,286
100.0,1.988711,287,287
100.0,1.951188,288,288
100.0,1.932427,289,289
100.0,1.913666,290,290
100.0,1.932427,291,291
100.0,1.913666,292,292
100.0,2.007473,293,293
100.0,2.007473,294,294
100.0,2.007473,295,295
100.0,1.96995,296,296
100.0,1.913666,297,297
100.0,1.913666,298,298
100.0,1.951188,299,299
100.0,1.932427,300,300
100.0,1.988711,301,301
100.0,1.913666,302,302
100.0,1.988711,303,303
100.0,1.951188,304,304
100.0,1.913666,305,305
100.0,1.876143,306,306
100.0,1.951188,307,307
100.0,1.96995,308,308
100.0,2.026234,309,309
100.0,1.894904,310,310
100.0,1.951188,311,311
100.0,2.044996,312,312
100.0,1.96995,313,313
100.0,1.96995,314,314
100.0,2.082518,315,315
100.0,1.932427,316,316
100.0,1.857381,317,317
100.0,1.96995,318,318
100.0,2.044996,319,319
100.0,1.951188,320,320
100.0,1.876143,321,321
100.0,1.913666,322,322
100.0,1.876143,323,323
100.0,1.988711,324,324
100.0,2.026234,325,325
100.0,1.96995,326,326
100.0,1.894904,327,327
100.0,1.96995,328,328
100.0,1.932427,329,329
100.0,1.932427,330,330
100.0,1.913666,331,331
100.0,2.026234,332,332
100.0,1.96995,333,333
100.0,1.913666,334,334
100.0,1.857381,335,335
100.0,1.857381,336,336
100.0,1.932427,337,337
100.0,1.96995,338,338
100.0,1.913666,339,339
100.0,1.819858,340,340
100.0,1.951188,341,341
100.0,2.082518,342,342
100.0,1.96995,343,343
100.0,1.951188,344,344
100.0,1.876143,345,345
100.0,1.96995,346,346
100.0,2.007473,347,347
100.0,1.951188,348,348
100.0,1.913666,349,349
100.0,2.007473,350,350
100.0,1.726051,351,351
100.0,1.988711,352,352
100.0,1.932427,353,353
100.0,1.819858,354,354
100.0,1.951188,355,355
100.0,1.894904,356,356
100.0,1.913666,357,357
100.0,1.951188,358,358
100.0,1.932427,359,359
100.0,1.913666,360,360
100.0,1.932427,361,361
100.0,1.876143,362,362
100.0,1.913666,363,363
100.0,2.007473,364,364
100.0,1.932427,365,365
100.0,1.951188,366,366
100.0,1.913666,367,367
100.0,2.007473,368,368
100.0,1.96995,369,369
100.0,1.932427,370,370
100.0,1.913666,371,371
100.0,1.951188,372,372
100.0,1.96995,373,373
100.0,1.951188,374,374
100.0,1.876143,375,375
100.0,1.96995,376,376
100.0,1.782336,377,377
100.0,1.932427,378,378
100.0,2.007473,379,379
100.0,2.044996,380,380
100.0,1.932427,381,381
100.0,1.96995,382,382
100.0,1.894904,383,383
100.0,1.894904,384,384
100.0,1.894904,385,385
100.0,2.007473,386,386
100.0,1.951188,387,387
100.0,1.913666,388,388
100.0,1.876143,389,389
100.0,1.932427,390,390
100.0,2.007473,391,391
100.0,1.951188,392,392
100.0,1.988711,393,393
100.0,1.96995,394,394
