Reception rate,Distance,Transmission,Reception
99.875801,3.095635,17715,17693
99.875816,3.039351,17716,17694
99.875816,3.058113,17717,17695
99.875824,3.114397,17718,17696
99.875831,3.039351,17719,17697
99.875839,3.076874,17720,17698
99.875846,3.058113,17721,17699
99.875854,3.095635,17722,17700
99.875862,3.076874,17723,17701
99.875869,3.076874,17724,17702
99.875869,3.058113,17725,17703
99.875877,3.039351,17726,17704
99.875892,3.076874,17727,17705
99.8759,3.039351,17728,17706
99.8759,3.076874,17729,17707
99.875907,3.076874,17730,17708
99.875915,3.058113,17731,17709
99.875923,3.058113,17732,17710
99.87593,3.058113,17733,17711
99.875938,3.02059,17734,17712
99.875946,3.095635,17735,17713
99.875953,3.076874,17736,17714
99.875953,3.076874,17737,17715
99.875961,3.076874,17738,17716
99.875976,3.039351,17739,17717
99.875984,3.058113,17740,17718
99.875984,3.076874,17741,17719
99.875991,3.039351,17742,17720
99.875999,3.039351,17743,17721
99.876007,3.058113,17744,17722
99.876014,3.076874,17745,17723
99.876022,3.076874,17746,17724
99.876029,3.039351,17747,17725
99.876037,3.095635,17748,17726
99.876037,3.076874,17749,17727
99.876052,3.076874,17750,17728
99.87606,3.076874,17751,17729
99.87606,3.095635,17752,17730
99.876068,3.039351,17753,17731
99.876075,3.058113,17754,17732
99.876083,3.058113,17755,17733
99.876091,3.039351,17756,17734
99.876098,3.076874,17757,17735
99.876106,3.039351,17758,17736
99.876113,3.058113,17759,17737
99.876113,3.076874,17760,17738
99.876121,3.076874,17761,17739
99.876136,3.076874,17762,17740
99.876144,3.058113,17763,17741
99.876144,3.058113,17764,17742
99.876152,3.076874,17765,17743
99.876159,3.076874,17766,17744
99.876167,3.058113,17767,17745
99.876174,3.039351,17768,17746
99.876182,3.058113,17769,17747
99.87619,3.095635,17770,17748
99.876197,3.095635,17771,17749
99.876197,3.095635,17772,17750
99.876205,3.076874,17773,17751
99.87622,3.114397,17774,17752
99.876228,3.095635,17775,17753
99.876228,3.076874,17776,17754
99.876235,3.058113,17777,17755
99.876243,3.076874,17778,17756
99.876251,3.058113,17779,17757
99.876258,3.114397,17780,17758
99.876266,3.058113,17781,17759
99.876274,3.076874,17782,17760
99.876281,3.058113,17783,17761
99.876281,3.076874,17784,17762
99.876289,3.076874,17785,17763
99.876304,3.058113,17786,17764
99.876312,3.039351,17787,17765
99.876312,3.076874,17788,17766
99.876319,3.15192,17789,17767
99.876327,3.058113,17790,17768
99.876335,3.076874,17791,17769
99.876342,3.095635,17792,17770
99.87635,3.076874,17793,17771
99.876358,3.058113,17794,17772
99.876365,3.058113,17795,17773
99.876365,3.095635,17796,17774
99.876373,3.039351,17797,17775
99.876388,3.058113,17798,17776
99.876388,3.076874,17799,17777
99.876396,3.095635,17800,17778
99.876403,3.076874,17801,17779
99.876411,3.095635,17802,17780
99.876419,3.058113,17803,17781
99.876426,3.076874,17804,17782
99.876434,3.095635,17805,17783
99.876441,3.095635,17806,17784
99.876441,3.058113,17807,17785
99.876449,3.058113,17808,17786
99.876457,3.058113,17809,17787
99.876472,3.076874,17810,17788
99.876472,3.058113,17811,17789
99.87648,3.076874,17812,17790
99.876487,3.02059,17813,17791
99.876495,3.058113,17814,17792
99.876495,3.058113,17815,17793
99.87651,3.076874,17816,17794
99.876518,3.114397,17817,17795
99.876525,3.076874,17818,17796
99.876525,3.076874,17819,17797
99.876533,3.02059,17820,17798
99.876541,3.095635,17821,17799
99.876556,3.058113,17822,17800
99.876556,3.095635,17823,17801
99.876564,3.058113,17824,17802
99.876571,3.058113,17825,17803
99.876579,3.039351,17826,17804
99.876579,3.058113,17827,17805
99.876594,3.076874,17828,17806
99.876602,3.076874,17829,17807
99.876609,3.076874,17830,17808
99.876609,3.058113,17831,17809
99.876617,3.058113,17832,17810
99.876625,3.058113,17833,17811
99.876632,3.076874,17834,17812
99.87664,3.095635,17835,17813
99.876647,3.076874,17836,17814
99.876655,3.076874,17837,17815
99.876663,3.076874,17838,17816
99.876663,3.095635,17839,17817
