Reception rate,Distance,Transmission,Reception
100.0,0.78798,96,96
100.0,0.712934,97,97
100.0,0.731696,98,98
100.0,0.78798,99,99
100.0,0.731696,100,100
100.0,0.806741,101,101
100.0,0.78798,102,102
100.0,0.712934,103,103
100.0,0.844264,104,104
100.0,0.712934,105,105
100.0,0.769219,106,106
100.0,0.769219,107,107
100.0,0.863026,108,108
100.0,0.78798,109,109
100.0,0.675411,110,110
100.0,0.806741,111,111
100.0,0.769219,112,112
100.0,0.769219,113,113
100.0,0.78798,114,114
100.0,0.825503,115,115
100.0,0.731696,116,116
100.0,0.806741,117,117
100.0,0.844264,118,118
100.0,0.731696,119,119
100.0,0.825503,120,120
100.0,0.806741,121,121
100.0,0.694173,122,122
100.0,0.750457,123,123
100.0,0.806741,124,124
100.0,0.712934,125,125
100.0,0.769219,126,126
100.0,0.750457,127,127
100.0,0.78798,128,128
100.0,0.694173,129,129
100.0,0.731696,130,130
100.0,0.844264,131,131
100.0,0.78798,132,132
100.0,0.806741,133,133
100.0,0.78798,134,134
100.0,0.694173,135,135
100.0,0.712934,136,136
100.0,0.731696,137,137
100.0,0.78798,138,138
100.0,0.78798,139,139
100.0,0.806741,140,140
100.0,0.78798,141,141
100.0,0.731696,142,142
100.0,0.825503,143,143
100.0,0.78798,144,144
100.0,0.825503,145,145
100.0,0.769219,146,146
100.0,0.694173,147,147
100.0,0.78798,148,148
100.0,0.769219,149,149
100.0,0.750457,150,150
100.0,0.731696,151,151
100.0,0.731696,152,152
100.0,0.731696,153,153
100.0,0.750457,154,154
100.0,0.750457,155,155
100.0,0.769219,156,156
100.0,0.806741,157,157
100.0,0.806741,158,158
100.0,0.731696,159,159
100.0,0.806741,160,160
100.0,0.750457,161,161
100.0,0.712934,162,162
100.0,0.769219,163,163
100.0,0.712934,164,164
100.0,0.78798,165,165
100.0,0.769219,166,166
100.0,0.694173,167,167
100.0,0.844264,168,168
100.0,0.78798,169,169
100.0,0.806741,170,170
100.0,0.806741,171,171
100.0,0.806741,172,172
100.0,0.806741,173,173
100.0,0.769219,174,174
100.0,0.750457,175,175
100.0,0.731696,176,176
100.0,0.806741,177,177
100.0,0.769219,178,178
100.0,0.769219,179,179
100.0,0.750457,180,180
100.0,0.750457,181,181
100.0,0.750457,182,182
100.0,0.825503,183,183
100.0,0.750457,184,184
100.0,0.731696,185,185
100.0,0.694173,186,186
100.0,0.712934,187,187
100.0,0.78798,188,188
100.0,0.78798,189,189
100.0,0.750457,190,190
100.0,0.78798,191,191
100.0,0.78798,192,192
100.0,0.731696,193,193
100.0,0.750457,194,194
100.0,0.806741,195,195
100.0,0.769219,196,196
100.0,0.806741,197,197
100.0,0.712934,198,198
100.0,0.712934,199,199
100.0,0.712934,200,200
100.0,0.731696,201,201
100.0,0.78798,202,202
100.0,0.731696,203,203
100.0,0.806741,204,204
100.0,0.750457,205,205
100.0,0.750457,206,206
100.0,0.769219,207,207
100.0,0.769219,208,208
100.0,0.731696,209,209
100.0,0.731696,210,210
100.0,0.769219,211,211
100.0,0.750457,212,212
100.0,0.731696,213,213
100.0,0.731696,214,214
100.0,0.731696,215,215
100.0,0.806741,216,216
100.0,0.750457,217,217
100.0,0.806741,218,218
100.0,0.863026,219,219
100.0,0.78798,220,220
100.0,0.750457,221,221
100.0,0.844264,222,222
100.0,0.731696,223,223
100.0,0.825503,224,224
100.0,0.806741,225,225
100.0,0.844264,226,226
100.0,0.750457,227,227
100.0,0.78798,228,228
100.0,0.825503,229,229
100.0,0.863026,230,230
100.0,0.78798,231,231
100.0,0.769219,232,232
100.0,0.78798,233,233
100.0,0.694173,234,234
100.0,0.675411,235,235
100.0,0.731696,236,236
100.0,0.769219,237,237
100.0,0.712934,238,238
100.0,0.712934,239,239
100.0,0.806741,240,240
100.0,0.731696,241,241
100.0,0.769219,242,242
100.0,0.769219,243,243
100.0,0.825503,244,244
100.0,0.78798,245,245
100.0,0.731696,246,246
100.0,0.806741,247,247
100.0,0.78798,248,248
100.0,0.78798,249,249
100.0,0.825503,250,250
100.0,0.863026,251,251
100.0,0.769219,285,283
99.298248,0.769219,286,284
99.300697,0.712934,287,285
99.303138,0.825503,288,286
99.305557,0.78798,289,287
99.30796,0.712934,290,288
99.31034,0.731696,291,289
99.312713,0.675411,292,290
99.315071,0.675411,293,291
99.317405,0.825503,294,292
99.319725,0.78798,295,293
99.322036,0.731696,296,294
99.324325,0.712934,297,295
99.326599,0.825503,298,296
99.328857,0.750457,299,297
99.331108,0.78798,300,298
99.333335,0.750457,301,299
99.335548,0.825503,302,300
99.337753,0.78798,303,301
99.339935,0.78798,304,302
99.342109,0.750457,305,303
99.344261,0.712934,306,304
99.346405,0.78798,307,305
99.348533,0.78798,308,306
99.350646,0.78798,309,307
99.352752,0.825503,310,308
99.354843,0.731696,311,309
99.35691,0.694173,312,310
99.358978,0.712934,313,311
99.361022,0.750457,314,312
99.36306,0.78798,315,313
99.365081,0.731696,316,314
99.367088,0.78798,317,315
99.369087,0.806741,318,316
99.37107,0.750457,319,317
99.373039,0.731696,320,318
99.375,0.769219,321,319
99.376945,0.731696,322,320
99.378883,0.78798,323,321
99.380805,0.731696,324,322
99.382713,0.78798,325,323
99.38462,0.750457,326,324
99.386505,0.769219,327,325
