Reception rate,Distance,Transmission,Reception
99.850235,2.645361,21367,21335
99.850235,2.6266,21368,21336
99.850242,2.645361,21369,21337
99.85025,2.645361,21370,21338
99.850257,2.645361,21371,21339
99.850265,2.645361,21372,21340
99.850273,2.645361,21373,21341
99.85028,2.664123,21374,21342
99.850288,2.645361,21375,21343
99.850288,2.664123,21376,21344
99.850296,2.645361,21377,21345
99.850311,2.6266,21378,21346
99.850311,2.6266,21379,21347
99.850318,2.664123,21380,21348
99.850326,2.6266,21381,21349
99.850334,2.664123,21382,21350
99.850341,2.589077,21383,21351
99.850349,2.645361,21384,21352
99.850357,2.645361,21385,21353
99.850364,2.6266,21386,21354
99.850372,2.682884,21387,21355
99.850372,2.6266,21388,21356
99.850379,2.6266,21389,21357
99.850395,2.645361,21390,21358
99.850395,2.645361,21391,21359
99.850402,2.645361,21392,21360
99.85041,2.607838,21393,21361
99.850418,2.607838,21394,21362
99.850425,2.645361,21395,21363
99.850433,2.664123,21396,21364
99.850441,2.607838,21397,21365
99.850448,2.6266,21398,21366
99.850448,2.6266,21399,21367
99.850456,2.6266,21400,21368
99.850471,2.607838,21401,21369
99.850479,2.6266,21402,21370
99.850479,2.645361,21403,21371
99.850486,2.6266,21404,21372
99.850494,2.664123,21405,21373
99.850502,2.645361,21406,21374
99.850509,2.6266,21407,21375
99.850517,2.607838,21408,21376
99.850524,2.664123,21409,21377
99.850532,2.645361,21410,21378
99.850532,2.607838,21411,21379
99.85054,2.645361,21412,21380
99.850555,2.645361,21413,21381
99.850555,2.6266,21414,21382
99.850563,2.664123,21415,21383
99.85057,2.664123,21416,21384
99.850578,2.645361,21417,21385
99.850585,2.664123,21418,21386
99.850593,2.645361,21419,21387
99.850601,2.6266,21420,21388
99.850608,2.645361,21421,21389
99.850616,2.589077,21422,21390
99.850616,2.607838,21423,21391
99.850631,2.664123,21424,21392
99.850639,2.645361,21425,21393
99.850639,2.645361,21426,21394
99.850647,2.645361,21427,21395
99.850654,2.6266,21428,21396
99.850662,2.682884,21429,21397
99.850669,2.664123,21430,21398
99.850677,2.664123,21431,21399
99.850685,2.589077,21432,21400
99.850692,2.664123,21433,21401
99.850692,2.682884,21434,21402
99.8507,2.645361,21435,21403
99.850715,2.6266,21436,21404
99.850723,2.664123,21437,21405
