Reception rate,Distance,Transmission,Reception
100.0,2.138803,237,237
100.0,2.120041,238,238
100.0,2.120041,239,239
100.0,2.176326,240,240
100.0,2.138803,241,241
100.0,2.10128,242,242
100.0,2.120041,243,243
100.0,2.120041,244,244
100.0,2.157564,245,245
100.0,2.195087,246,246
100.0,2.157564,247,247
100.0,2.138803,248,248
100.0,2.138803,249,249
100.0,2.120041,250,250
100.0,2.120041,251,251
100.0,2.138803,252,252
100.0,2.157564,253,253
100.0,2.120041,254,254
100.0,2.176326,255,255
100.0,2.10128,256,256
100.0,2.157564,257,257
100.0,2.138803,258,258
100.0,2.157564,259,259
100.0,2.138803,260,260
100.0,2.138803,261,261
100.0,2.157564,262,262
100.0,2.195087,263,263
100.0,2.176326,264,264
100.0,2.063757,265,265
100.0,2.176326,266,266
100.0,2.176326,267,267
100.0,2.176326,268,268
100.0,2.195087,269,269
100.0,2.120041,270,270
100.0,2.157564,271,271
100.0,2.176326,272,272
100.0,2.10128,273,273
100.0,2.213848,274,274
100.0,2.157564,275,275
100.0,2.138803,276,276
100.0,2.176326,277,277
100.0,2.157564,278,278
100.0,2.195087,279,279
100.0,2.138803,280,280
100.0,2.176326,281,281
100.0,2.213848,282,282
100.0,2.176326,283,283
100.0,2.157564,284,284
100.0,2.176326,285,285
100.0,2.138803,286,286
100.0,2.176326,287,287
100.0,2.176326,288,288
100.0,2.063757,289,289
100.0,2.138803,290,290
100.0,2.10128,291,291
100.0,2.120041,292,292
100.0,2.195087,293,293
100.0,2.120041,294,294
100.0,2.157564,295,295
100.0,2.120041,296,296
100.0,2.176326,297,297
100.0,2.10128,298,298
100.0,2.120041,299,299
100.0,2.176326,300,300
100.0,2.10128,301,301
100.0,2.120041,302,302
100.0,2.157564,303,303
100.0,2.120041,304,304
100.0,2.120041,305,305
100.0,2.120041,306,306
100.0,2.195087,307,307
100.0,2.157564,308,308
100.0,2.176326,309,309
100.0,2.120041,310,310
100.0,2.120041,311,311
100.0,2.195087,312,312
100.0,2.138803,313,313
100.0,2.138803,314,314
100.0,2.176326,315,315
100.0,2.10128,316,316
100.0,2.176326,317,317
100.0,2.138803,318,318
100.0,2.176326,319,319
100.0,2.157564,320,320
100.0,2.120041,321,321
100.0,2.120041,322,322
100.0,2.157564,323,323
100.0,2.138803,324,324
100.0,2.176326,325,325
100.0,2.120041,326,326
100.0,2.157564,327,327
100.0,2.120041,328,328
100.0,2.120041,329,329
100.0,2.138803,330,330
100.0,2.138803,331,331
100.0,2.176326,332,332
100.0,2.157564,333,333
100.0,2.157564,334,334
100.0,2.157564,335,335
100.0,2.157564,336,336
100.0,2.138803,337,337
100.0,2.138803,338,338
100.0,2.138803,339,339
100.0,2.138803,340,340
100.0,2.195087,341,341
100.0,2.157564,342,342
100.0,2.138803,343,343
100.0,2.157564,344,344
100.0,2.195087,345,345
100.0,2.063757,346,346
100.0,2.157564,347,347
100.0,2.138803,348,348
100.0,2.120041,349,349
100.0,2.176326,350,350
100.0,2.138803,351,351
100.0,2.157564,352,352
100.0,2.138803,353,353
100.0,2.157564,354,354
100.0,2.176326,355,355
100.0,2.213848,356,356
100.0,2.157564,357,357
100.0,2.138803,358,358
100.0,2.176326,359,359
100.0,2.195087,360,360
100.0,2.176326,361,361
100.0,2.10128,362,362
100.0,2.120041,363,363
100.0,2.138803,364,364
100.0,2.157564,365,365
100.0,2.213848,366,366
100.0,2.157564,367,367
100.0,2.176326,368,368
100.0,2.157564,369,369
100.0,2.138803,370,370
100.0,2.195087,371,371
100.0,2.120041,372,372
100.0,2.157564,373,373
100.0,2.120041,374,374
100.0,2.176326,375,375
100.0,2.138803,376,376
100.0,2.157564,377,377
100.0,2.157564,378,378
100.0,2.157564,379,379
100.0,2.213848,380,380
100.0,2.157564,381,381
100.0,2.120041,382,382
100.0,2.176326,383,383
100.0,2.157564,384,384
100.0,2.138803,385,385
100.0,2.157564,386,386
100.0,2.176326,387,387
100.0,2.176326,388,388
100.0,2.176326,389,389
100.0,2.213848,390,390
100.0,2.10128,391,391
100.0,2.138803,392,392
100.0,2.157564,393,393
100.0,2.10128,394,394
100.0,2.176326,395,395
100.0,2.176326,396,396
100.0,2.176326,397,397
100.0,2.157564,398,398
100.0,2.176326,399,399
100.0,2.157564,400,400
100.0,2.157564,401,401
100.0,2.063757,402,402
100.0,2.138803,403,403
100.0,2.120041,404,404
100.0,2.176326,405,405
100.0,2.157564,406,406
100.0,2.176326,407,407
100.0,2.138803,408,408
100.0,2.157564,409,409
100.0,2.213848,410,410
100.0,2.157564,411,411
100.0,2.138803,412,412
100.0,2.120041,413,413
100.0,2.195087,414,414
100.0,2.120041,415,415
100.0,2.195087,416,416
100.0,2.176326,417,417
100.0,2.138803,418,418
100.0,2.176326,419,419
100.0,2.138803,420,420
100.0,2.10128,421,421
100.0,2.176326,422,422
100.0,2.138803,423,423
100.0,2.176326,424,424
100.0,2.120041,425,425
100.0,2.157564,426,426
100.0,2.120041,427,427
100.0,2.120041,428,428
100.0,2.138803,429,429
100.0,2.138803,430,430
100.0,2.120041,431,431
100.0,2.138803,432,432
100.0,2.138803,433,433
100.0,2.176326,434,434
100.0,2.120041,435,435
