Reception rate,Distance,Transmission,Reception
100.0,7.185626,177,177
100.0,7.204388,178,178
100.0,7.185626,179,179
100.0,7.166865,180,180
100.0,7.166865,181,181
100.0,7.148104,182,182
100.0,7.148104,183,183
100.0,7.166865,184,184
100.0,7.204388,185,185
100.0,7.166865,186,186
100.0,7.148104,187,187
100.0,7.148104,188,188
100.0,7.185626,189,189
100.0,7.241911,190,190
100.0,7.166865,191,191
100.0,7.166865,192,192
100.0,7.204388,193,193
100.0,7.129343,194,194
100.0,7.166865,195,195
100.0,7.148104,196,196
100.0,7.148104,197,197
100.0,7.148104,198,198
100.0,7.185626,199,199
100.0,7.22315,200,200
100.0,7.129343,201,201
100.0,7.185626,202,202
100.0,7.166865,203,203
100.0,7.204388,204,204
100.0,7.204388,205,205
100.0,7.166865,206,206
100.0,7.129343,207,207
100.0,7.166865,208,208
100.0,7.185626,209,209
100.0,7.204388,210,210
100.0,7.166865,211,211
100.0,7.185626,212,212
100.0,7.166865,213,213
100.0,7.166865,214,214
100.0,7.185626,215,215
100.0,7.148104,216,216
100.0,7.148104,217,217
100.0,7.204388,218,218
100.0,7.185626,219,219
100.0,7.185626,220,220
100.0,7.148104,221,221
100.0,7.166865,222,222
100.0,7.166865,223,223
100.0,7.185626,224,224
100.0,7.166865,225,225
100.0,7.185626,226,226
100.0,7.166865,227,227
100.0,7.148104,228,228
100.0,7.166865,229,229
100.0,7.166865,230,230
100.0,7.129343,231,231
100.0,7.166865,232,232
100.0,7.204388,233,233
100.0,7.166865,234,234
100.0,7.185626,235,235
100.0,7.185626,236,236
100.0,7.166865,237,237
100.0,7.129343,238,238
100.0,7.166865,239,239
100.0,7.185626,240,240
100.0,7.148104,241,241
100.0,7.166865,242,242
100.0,7.22315,243,243
100.0,7.166865,244,244
100.0,7.185626,245,245
100.0,7.166865,246,246
100.0,7.22315,247,247
100.0,7.204388,248,248
100.0,7.185626,249,249
100.0,7.185626,250,250
100.0,7.204388,251,251
100.0,7.185626,252,252
100.0,7.185626,253,253
100.0,7.185626,254,254
100.0,7.185626,255,255
100.0,7.148104,256,256
100.0,7.148104,257,257
100.0,7.166865,258,258
100.0,7.185626,259,259
100.0,7.204388,260,260
100.0,7.166865,261,261
100.0,7.166865,262,262
100.0,7.204388,263,263
100.0,7.204388,264,264
100.0,7.148104,265,265
100.0,7.204388,266,266
100.0,7.148104,267,267
100.0,7.204388,268,268
100.0,7.204388,269,269
100.0,7.22315,270,270
100.0,7.129343,271,271
100.0,7.185626,272,272
100.0,7.204388,273,273
100.0,7.166865,274,274
100.0,7.204388,275,275
100.0,7.185626,276,276
100.0,7.166865,277,277
100.0,7.22315,278,278
100.0,7.166865,279,279
100.0,7.148104,280,280
100.0,7.185626,281,281
100.0,7.148104,282,282
100.0,7.204388,283,283
100.0,7.185626,284,284
100.0,7.166865,285,285
100.0,7.166865,286,286
100.0,7.166865,287,287
100.0,7.166865,288,288
100.0,7.148104,289,289
