Reception rate,Distance,Transmission,Reception
99.861465,3.602194,23822,23789
99.861473,3.620955,23823,23790
99.86148,3.602194,23824,23791
99.861488,3.602194,23825,23792
99.861488,3.564671,23826,23793
99.861496,3.564671,23827,23794
99.861503,3.620955,23828,23795
99.861511,3.602194,23829,23796
99.861511,3.564671,23830,23797
99.861518,3.583433,23831,23798
99.861526,3.564671,23832,23799
99.861534,3.583433,23833,23800
99.861541,3.602194,23834,23801
99.861541,3.583433,23835,23802
99.861549,3.583433,23836,23803
99.861557,3.583433,23837,23804
99.861564,3.620955,23838,23805
99.861564,3.564671,23839,23806
99.861572,3.620955,23840,23807
99.861579,3.602194,23841,23808
99.861579,3.602194,23842,23809
99.861587,3.602194,23843,23810
99.861595,3.602194,23844,23811
99.861595,3.639717,23845,23812
99.861602,3.602194,23846,23813
99.86161,3.620955,23847,23814
99.861618,3.639717,23848,23815
99.861618,3.602194,23849,23816
99.861625,3.564671,23850,23817
99.861633,3.583433,23851,23818
99.86164,3.583433,23852,23819
99.861648,3.583433,23853,23820
99.861648,3.583433,23854,23821
99.861656,3.602194,23855,23822
99.861663,3.564671,23856,23823
99.861671,3.564671,23857,23824
99.861679,3.583433,23858,23825
99.861679,3.583433,23859,23826
99.861686,3.602194,23860,23827
99.861694,3.602194,23861,23828
99.861701,3.620955,23862,23829
99.861701,3.583433,23863,23830
99.861709,3.602194,23864,23831
99.861717,3.639717,23865,23832
99.861724,3.583433,23866,23833
99.861732,3.564671,23867,23834
99.861732,3.583433,23868,23835
99.86174,3.564671,23869,23836
99.861747,3.602194,23870,23837
99.861755,3.583433,23871,23838
99.861755,3.583433,23872,23839
99.861763,3.583433,23873,23840
99.86177,3.564671,23874,23841
99.861778,3.564671,23875,23842
99.861785,3.583433,23876,23843
99.861785,3.602194,23877,23844
99.861785,3.602194,23878,23845
99.861793,3.583433,23879,23846
99.861801,3.602194,23880,23847
99.861808,3.602194,23881,23848
99.861816,3.602194,23882,23849
99.861816,3.583433,23883,23850
99.861824,3.620955,23884,23851
99.861831,3.602194,23885,23852
99.861839,3.602194,23886,23853
99.861839,3.620955,23887,23854
99.861846,3.564671,23888,23855
99.861854,3.564671,23889,23856
99.861862,3.602194,23890,23857
99.861869,3.602194,23891,23858
99.861869,3.583433,23892,23859
99.861877,3.583433,23893,23860
99.861885,3.583433,23894,23861
99.861892,3.583433,23895,23862
99.861892,3.583433,23896,23863
99.8619,3.583433,23897,23864
99.861907,3.602194,23898,23865
99.861915,3.583433,23899,23866
99.861923,3.602194,23900,23867
99.861923,3.583433,23901,23868
99.86193,3.602194,23902,23869
99.861938,3.639717,23903,23870
99.861946,3.602194,23904,23871
99.861946,3.583433,23905,23872
99.861953,3.583433,23906,23873
99.861961,3.620955,23907,23874
99.861969,3.583433,23908,23875
99.861976,3.620955,23909,23876
99.861976,3.602194,23910,23877
99.861976,3.583433,23911,23878
99.861984,3.620955,23912,23879
99.861991,3.583433,23913,23880
99.861999,3.602194,23914,23881
99.861999,3.564671,23915,23882
99.862007,3.583433,23916,23883
99.862014,3.620955,23917,23884
99.862022,3.639717,23918,23885
99.86203,3.602194,23919,23886
99.86203,3.639717,23920,23887
99.862037,3.583433,23921,23888
99.862045,3.602194,23922,23889
99.862052,3.620955,23923,23890
99.86206,3.602194,23924,23891
99.86206,3.583433,23925,23892
99.862068,3.564671,23926,23893
99.862075,3.583433,23927,23894
99.862083,3.602194,23928,23895
99.862083,3.564671,23929,23896
99.862091,3.54591,23930,23897
99.862098,3.583433,23931,23898
99.862106,3.583433,23932,23899
99.862113,3.583433,23933,23900
99.862113,3.602194,23934,23901
99.862121,3.564671,23935,23902
99.862129,3.602194,23936,23903
99.862136,3.583433,23937,23904
99.862136,3.602194,23938,23905
99.862144,3.564671,23939,23906
99.862152,3.620955,23940,23907
99.862159,3.602194,23941,23908
99.862159,3.602194,23942,23909
99.862167,3.602194,23943,23910
99.862167,3.564671,23944,23911
99.862175,3.639717,23945,23912
99.862182,3.602194,23946,23913
99.86219,3.564671,23947,23914
99.862197,3.602194,23948,23915
99.862197,3.602194,23949,23916
99.862205,3.602194,23950,23917
99.862213,3.583433,23951,23918
99.86222,3.583433,23952,23919
99.86222,3.602194,23953,23920
99.862228,3.564671,23954,23921
99.862236,3.583433,23955,23922
99.862243,3.639717,23956,23923
99.862251,3.583433,23957,23924
99.862251,3.602194,23958,23925
99.862258,3.620955,23959,23926
99.862266,3.602194,23960,23927
99.862274,3.564671,23961,23928
99.862274,3.639717,23962,23929
99.862281,3.620955,23963,23930
99.862289,3.639717,23964,23931
99.862297,3.583433,23965,23932
99.862304,3.602194,23966,23933
99.862304,3.620955,23967,23934
99.862312,3.602194,23968,23935
99.862319,3.54591,23969,23936
99.862319,3.583433,23970,23937
99.862327,3.620955,23971,23938
99.862327,3.620955,23972,23939
99.862335,3.583433,23973,23940
99.862342,3.583433,23974,23941
99.86235,3.583433,23975,23942
99.862358,3.564671,23976,23943
99.862358,3.602194,23977,23944
99.862365,3.583433,23978,23945
99.862373,3.564671,23979,23946
99.862381,3.639717,23980,23947
99.862381,3.583433,23981,23948
99.862388,3.583433,23982,23949
99.862396,3.602194,23983,23950
99.862403,3.583433,23984,23951
99.862411,3.620955,23985,23952
99.862411,3.564671,23986,23953
99.862419,3.602194,23987,23954
99.862426,3.602194,23988,23955
99.862434,3.602194,23989,23956
99.862442,3.583433,23990,23957
99.862442,3.583433,23991,23958
99.862449,3.602194,23992,23959
99.862457,3.602194,23993,23960
99.862464,3.602194,23994,23961
99.862464,3.564671,23995,23962
99.862472,3.602194,23996,23963
99.862472,3.602194,23997,23964
99.86248,3.583433,23998,23965
99.862487,3.602194,23999,23966
99.862495,3.602194,24000,23967
99.862495,3.602194,24001,23968
99.862503,3.602194,24002,23969
99.86251,3.620955,24003,23970
99.862518,3.583433,24004,23971
99.862518,3.583433,24005,23972
99.862525,3.620955,24006,23973
99.862533,3.583433,24007,23974
99.862541,3.602194,24008,23975
99.862548,3.564671,24009,23976
99.862548,3.620955,24010,23977
99.862556,3.620955,24011,23978
99.862564,3.583433,24012,23979
99.862571,3.602194,24013,23980
99.862579,3.564671,24014,23981
99.862579,3.583433,24015,23982
99.862587,3.564671,24016,23983
99.862594,3.583433,24017,23984
99.862602,3.620955,24018,23985
99.862602,3.583433,24019,23986
99.862609,3.620955,24020,23987
