Reception rate,Distance,Transmission,Reception
100.0,3.076874,181,181
100.0,3.15192,182,182
100.0,3.170681,183,183
100.0,3.15192,184,184
100.0,3.170681,185,185
100.0,3.15192,186,186
100.0,3.208204,187,187
100.0,3.189443,188,188
100.0,3.133158,189,189
100.0,3.133158,190,190
100.0,3.170681,191,191
100.0,3.189443,192,192
100.0,3.15192,193,193
100.0,3.170681,194,194
100.0,3.15192,195,195
100.0,3.133158,196,196
100.0,3.133158,197,197
100.0,3.133158,198,198
100.0,3.114397,199,199
100.0,3.226965,200,200
100.0,3.133158,201,201
100.0,3.15192,202,202
100.0,3.114397,203,203
100.0,3.189443,204,204
100.0,3.133158,205,205
100.0,3.189443,206,206
100.0,3.189443,207,207
100.0,3.15192,208,208
100.0,3.170681,209,209
100.0,3.189443,210,210
100.0,3.15192,211,211
100.0,3.095635,212,212
100.0,3.076874,213,213
100.0,3.095635,214,214
100.0,3.114397,215,215
100.0,3.170681,216,216
100.0,3.170681,217,217
100.0,3.076874,218,218
100.0,3.133158,219,219
100.0,3.226965,220,220
100.0,3.170681,221,221
100.0,3.189443,222,222
100.0,3.133158,223,223
100.0,3.170681,224,224
100.0,3.170681,225,225
100.0,3.095635,226,226
100.0,3.15192,227,227
100.0,3.15192,228,228
100.0,3.208204,229,229
100.0,3.133158,230,230
100.0,3.15192,231,231
100.0,3.076874,232,232
100.0,3.189443,233,233
100.0,3.170681,234,234
100.0,3.15192,235,235
100.0,3.133158,236,236
100.0,3.133158,237,237
100.0,3.15192,238,238
100.0,3.15192,239,239
100.0,3.095635,240,240
100.0,3.170681,241,241
100.0,3.133158,242,242
100.0,3.133158,243,243
100.0,3.133158,244,244
100.0,3.189443,245,245
100.0,3.189443,246,246
100.0,3.208204,247,247
100.0,3.076874,248,248
100.0,3.189443,249,249
100.0,3.170681,250,250
100.0,3.133158,251,251
100.0,3.170681,252,252
100.0,3.114397,253,253
100.0,3.170681,254,254
100.0,3.114397,255,255
100.0,3.15192,256,256
100.0,3.208204,257,257
100.0,3.189443,258,258
100.0,3.133158,259,259
100.0,3.170681,260,260
100.0,3.133158,261,261
100.0,3.114397,262,262
100.0,3.189443,263,263
100.0,3.133158,264,264
100.0,3.226965,265,265
100.0,3.15192,266,266
100.0,3.114397,267,267
100.0,3.095635,268,268
100.0,3.133158,269,269
100.0,3.170681,270,270
100.0,3.189443,271,271
100.0,3.15192,272,272
100.0,3.15192,273,273
100.0,3.15192,274,274
100.0,3.095635,275,275
100.0,3.095635,276,276
100.0,3.226965,277,277
100.0,3.133158,278,278
100.0,3.095635,279,279
100.0,3.189443,280,280
100.0,3.095635,281,281
100.0,3.133158,282,282
100.0,3.208204,283,283
100.0,3.114397,284,284
100.0,3.133158,285,285
100.0,3.133158,286,286
100.0,3.133158,287,287
100.0,3.114397,288,288
100.0,3.095635,289,289
100.0,3.076874,290,290
100.0,3.226965,291,291
100.0,3.189443,292,292
100.0,3.133158,293,293
100.0,3.170681,294,294
100.0,3.133158,295,295
100.0,3.095635,296,296
100.0,3.15192,297,297
100.0,3.170681,298,298
100.0,3.133158,299,299
100.0,3.095635,300,300
100.0,3.189443,301,301
100.0,3.114397,302,302
100.0,3.15192,303,303
100.0,3.058113,304,304
100.0,3.133158,305,305
100.0,3.095635,306,306
100.0,3.189443,307,307
100.0,3.189443,308,308
100.0,3.076874,309,309
100.0,3.170681,310,310
100.0,3.15192,311,311
100.0,3.114397,312,312
100.0,3.114397,313,313
100.0,3.15192,314,314
100.0,3.189443,315,315
100.0,3.133158,316,316
100.0,3.170681,317,317
100.0,3.170681,318,318
100.0,3.114397,319,319
100.0,3.095635,320,320
100.0,3.095635,321,321
100.0,3.15192,322,322
100.0,3.189443,323,323
100.0,3.170681,324,324
100.0,3.189443,325,325
100.0,3.15192,326,326
100.0,3.058113,327,327
100.0,3.170681,328,328
100.0,3.114397,329,329
100.0,3.15192,330,330
100.0,3.189443,331,331
100.0,3.170681,332,332
100.0,3.114397,333,333
100.0,3.15192,334,334
100.0,3.15192,335,335
100.0,3.226965,336,336
100.0,3.095635,337,337
100.0,3.15192,338,338
100.0,3.170681,339,339
100.0,3.170681,340,340
100.0,3.15192,341,341
100.0,3.170681,342,342
100.0,3.15192,343,343
100.0,3.170681,344,344
100.0,3.189443,345,345
100.0,3.114397,346,346
100.0,3.15192,347,347
100.0,3.189443,348,348
100.0,3.058113,349,349
100.0,3.133158,350,350
100.0,3.114397,351,351
100.0,3.133158,352,352
100.0,3.133158,353,353
100.0,3.170681,354,354
100.0,3.15192,355,355
100.0,3.095635,356,356
100.0,3.208204,357,357
100.0,3.114397,358,358
100.0,3.095635,359,359
100.0,3.039351,360,360
100.0,3.114397,361,361
100.0,3.15192,362,362
100.0,3.095635,363,363
100.0,3.15192,364,364
100.0,3.208204,365,365
100.0,3.189443,366,366
100.0,3.114397,367,367
100.0,3.095635,368,368
100.0,3.170681,369,369
100.0,3.095635,370,370
100.0,3.114397,371,371
100.0,3.189443,372,372
100.0,3.114397,373,373
100.0,3.170681,374,374
100.0,3.170681,375,375
100.0,3.245727,376,376
100.0,3.114397,377,377
100.0,3.170681,378,378
100.0,3.095635,379,379
