Reception rate,Distance,Transmission,Reception
98.571426,1.44463,71,70
98.591545,1.482153,72,71
98.611106,1.407107,73,72
98.630134,1.482153,74,73
98.648651,1.407107,75,74
98.666671,1.425869,76,75
98.684211,1.388346,77,76
98.701301,1.388346,78,77
97.468353,1.407107,80,78
97.5,1.44463,81,79
97.530868,1.369584,82,80
97.560974,1.463391,83,81
97.590362,1.425869,84,82
97.619041,1.44463,85,83
97.647056,1.463391,86,84
97.674415,1.388346,87,85
97.701149,1.407107,88,86
97.727272,1.44463,89,87
97.752807,1.425869,90,88
97.777778,1.425869,91,89
97.8022,1.463391,93,90
96.774192,1.44463,94,91
96.808509,1.407107,95,92
96.842102,1.500914,96,93
96.875,1.388346,97,94
96.907218,1.463391,98,95
96.938774,1.407107,99,96
96.969696,1.388346,100,97
97.0,1.425869,101,98
97.029701,1.482153,102,99
97.058822,1.407107,103,100
97.087379,1.425869,104,101
97.115386,1.463391,105,102
97.14286,1.482153,106,103
97.169807,1.388346,107,104
97.196266,1.425869,108,105
97.222221,1.44463,109,106
97.247711,1.425869,110,107
97.272727,1.482153,111,108
97.297302,1.407107,112,109
97.321426,1.407107,113,110
97.34513,1.463391,114,111
97.368415,1.388346,115,112
97.391304,1.44463,116,113
97.413787,1.407107,117,114
97.435897,1.407107,118,115
97.457626,1.482153,119,116
97.478988,1.425869,120,117
97.5,1.407107,121,118
97.52066,1.44463,122,119
97.540985,1.482153,123,120
97.560974,1.463391,124,121
97.58065,1.425869,125,122
97.599998,1.388346,126,123
97.619041,1.407107,127,124
97.637794,1.425869,128,125
97.65625,1.369584,129,126
97.674415,1.44463,130,127
97.692306,1.44463,131,128
97.709922,1.425869,132,129
97.727272,1.388346,133,130
97.744361,1.463391,134,131
97.761192,1.463391,135,132
97.777778,1.44463,136,133
97.794113,1.44463,137,134
97.810218,1.463391,138,135
97.826087,1.425869,139,136
97.841728,1.407107,140,137
97.857139,1.500914,141,138
97.872337,1.463391,142,139
97.887329,1.425869,143,140
97.902092,1.369584,144,141
97.916671,1.463391,145,142
97.93103,1.369584,146,143
97.945205,1.369584,147,144
97.959182,1.425869,148,145
97.972969,1.407107,149,146
97.986579,1.425869,150,147
98.0,1.388346,151,148
98.013244,1.369584,152,149
98.026313,1.44463,153,150
98.039215,1.44463,154,151
98.051948,1.482153,155,152
98.064514,1.407107,156,153
98.076919,1.388346,157,154
98.089172,1.388346,158,155
98.101264,1.44463,159,156
98.113212,1.388346,160,157
98.125,1.425869,161,158
98.136642,1.369584,162,159
98.148147,1.407107,163,160
98.159507,1.500914,164,161
98.17073,1.425869,165,162
98.181823,1.482153,166,163
98.192771,1.388346,167,164
98.20359,1.44463,168,165
98.214286,1.407107,169,166
98.224853,1.482153,170,167
98.23529,1.369584,171,168
98.245613,1.407107,172,169
98.255813,1.482153,173,170
98.265899,1.369584,174,171
98.275863,1.425869,175,172
98.285713,1.407107,176,173
98.295455,1.44463,177,174
98.305084,1.463391,178,175
98.314605,1.425869,179,176
98.324028,1.407107,180,177
98.333335,1.425869,181,178
98.342544,1.407107,182,179
98.351646,1.407107,183,180
98.360656,1.350823,184,181
98.36956,1.369584,185,182
98.378379,1.482153,186,183
98.3871,1.388346,187,184
98.395721,1.388346,188,185
98.404251,1.407107,189,186
98.412696,1.463391,190,187
98.421058,1.407107,191,188
98.429321,1.482153,192,189
98.4375,1.388346,193,190
98.445594,1.407107,194,191
98.453613,1.44463,195,192
98.46154,1.425869,196,193
98.46939,1.407107,197,194
98.477157,1.482153,198,195
98.484848,1.482153,199,196
98.492462,1.463391,200,197
98.5,1.463391,201,198
98.507461,1.407107,202,199
98.514846,1.463391,203,200
98.522171,1.463391,204,201
98.529411,1.407107,205,202
98.53659,1.388346,206,203
98.543693,1.44463,207,204
98.550727,1.388346,208,205
98.557693,1.388346,209,206
98.564598,1.463391,210,207
98.571426,1.482153,211,208
98.578193,1.44463,212,209
98.584907,1.425869,213,210
98.591545,1.407107,214,211
98.598129,1.482153,215,212
98.604652,1.482153,216,213
98.611106,1.44463,217,214
98.617515,1.425869,218,215
98.623855,1.463391,219,216
98.630134,1.407107,220,217
98.636367,1.425869,221,218
98.642532,1.44463,222,219
98.648651,1.482153,223,220
98.654708,1.44463,224,221
98.660713,1.407107,225,222
98.666671,1.388346,226,223
98.672569,1.388346,227,224
98.678413,1.425869,228,225
98.684211,1.463391,229,226
98.689956,1.369584,230,227
98.695655,1.388346,231,228
98.701301,1.463391,232,229
98.706893,1.425869,233,230
98.712448,1.388346,234,231
98.717948,1.425869,235,232
98.723403,1.44463,236,233
98.728813,1.463391,237,234
98.734176,1.463391,238,235
98.739494,1.388346,239,236
98.744766,1.407107,240,237
98.75,1.332061,241,238
98.755188,1.407107,242,239
98.76033,1.407107,243,240
98.765434,1.425869,244,241
98.770492,1.482153,245,242
98.775512,1.369584,246,243
98.780487,1.407107,247,244
98.785423,1.44463,248,245
98.790321,1.425869,249,246
98.795181,1.407107,250,247
98.799995,1.425869,251,248
98.804786,1.388346,252,249
98.809524,1.388346,253,250
98.814231,1.44463,254,251
98.818901,1.388346,255,252
98.823532,1.369584,256,253
98.828125,1.482153,257,254
98.832687,1.425869,258,255
98.837211,1.407107,259,256
98.841697,1.425869,260,257
98.846153,1.388346,261,258
98.85057,1.463391,262,259
98.854957,1.369584,263,260
98.859313,1.369584,264,261
98.863639,1.425869,265,262
98.867919,1.388346,266,263
98.872177,1.463391,267,264
98.876403,1.369584,268,265
98.880592,1.407107,269,266
98.884758,1.425869,270,267
98.888885,1.463391,271,268
