Reference Distance (cm),Metal NLOS,Metal LOS-NLOS,Metal LOS,Outdoor
60,118.8946407035176,76.71444522613066,75.63967386934674,71.1991512562814
70,125.75813015075376,86.70797035175882,83.91731909547741,79.27882361809046
80,141.04069346733667,96.0132542713568,96.80519396984926,91.7141623115578
90,153.2214809045226,112.78540201005028,106.87413115577891,102.11306582914575
100,158.16166733668342,122.26039296482409,117.38618542713569,111.05066834170853
110,178.25242311557787,129.3218497487437,129.05786934673364,120.69536733668343
120,187.28817638190955,140.41846130653266,137.3826753768844,131.3865472361809
130,211.75900100502517,154.62622864321605,154.3999648241206,141.9174809045226
140,219.33899748743713,165.54366984924624,166.19418994974873,154.05113366834172
150,225.41053266331656,177.32848592964822,174.1418688442211,164.1012070351759
160,229.42680703517593,187.01088743718591,184.36166130653262,174.47184070351759
170,239.50517537688447,197.654932160804,197.26029090909088,184.79533969849246
180,250.8280256281407,255.051712562814,206.98850753768846,195.7222216080402
190,261.8397532663317,266.13886834170853,217.50057437185922,207.01679346733667
200,270.1268527638191,269.03322160804015,232.0006085427136,214.70049899497485
210,278.3762170854272,284.20263819095476,236.41283216080404,227.32439396984924
220,288.11518140703515,284.29691256281404,245.91612110552765,236.62967839195986
230,298.80637035175886,277.15059145728645,259.4168020100503,247.76397487437183
240,309.6483798994975,298.3726914572865,270.29655628140705,257.0692648241206
250,317.61493819095483,304.63277788944725,280.5540638190955,264.67754522613063
260,326.1754155778894,327.56131105527635,293.78134070351757,275.81183969849246
270,338.111072361809,327.9572889447236,302.70007085427136,275.81183969849246
280,343.79609095477383,356.6273889447236,307.0934512562814,297.8164512562814
290,357.79645226130657,388.9460859296482,327.1936286432161,308.6018984924623
300,365.01817487437194,341.06200100502514,336.04637336683413,316.3327447236181
310,375.5396567839196,381.3472231155779,352.6865402010051,327.8252969849246
320,386.721120603015,401.9187944723618,357.2914914141415,339.86466180904523
330,394.98933015075374,418.99318557692305,354.6852502512563,349.2925085427136
